workstation	Fedora Workstation	Workstation	Workstation	Fedora-Workstation-Live-44-1.7.x86_64.iso	https://download.fedoraproject.org/pub/fedora/linux/releases/44/Workstation/x86_64/iso/Fedora-Workstation-Live-44-1.7.x86_64.iso	2851612672	1620295f6a00c27c3208f0c00b8ece4eab1ec69b9002152d97488bf26a426ddf
kde	Fedora KDE Desktop	KDE	KDE	Fedora-KDE-Desktop-Live-44-1.7.x86_64.iso	https://download.fedoraproject.org/pub/fedora/linux/releases/44/KDE/x86_64/iso/Fedora-KDE-Desktop-Live-44-1.7.x86_64.iso	3368683520	c8295961d4c41adbf785a31a17c21a971d3b7415fda72dcad0c11c49577bf03a
cosmic	Fedora COSMIC Spin	Spins	COSMIC	Fedora-COSMIC-Live-44-1.7.x86_64.iso	https://download.fedoraproject.org/pub/fedora/linux/releases/44/Spins/x86_64/iso/Fedora-COSMIC-Live-44-1.7.x86_64.iso	3166636032	86ed49a1f0c32ab3e19846b692b0a1b35fa827154069f32b1ec0e08d42bb20e6
